sale_id,match_id,price_tier,quantity,unit_price_usd,channel,buyer_country
161,1,Category 1,1,321.95,FIFA.com Ticketing Platform,South Africa
162,1,Category 2,1,162.22,FIFA.com Ticketing Platform,Brazil
163,1,Category 2,4,157.8,Ticket Lottery Allocation,Japan
164,1,Category 3,3,98.66,Verified Resale Platform,Mexico
165,1,Category 1,1,325.21,FIFA.com Ticketing Platform,Mexico
166,1,Category 3,3,104.86,FIFA.com Ticketing Platform,England
167,1,Category 4,2,62.68,FIFA.com Ticketing Platform,Argentina
168,1,Category 3,2,104.26,FIFA.com Ticketing Platform,India
169,1,Category 1,2,314.45,Ticket Lottery Allocation,USA
170,1,Category 2,2,158.8,Ticket Lottery Allocation,Brazil
171,1,Category 3,4,95.42,FIFA.com Ticketing Platform,Nigeria
172,1,Category 1,3,323.43,Ticket Lottery Allocation,England
173,1,Category 1,3,306.89,Verified Resale Platform,Mexico
174,1,Category 1,1,325.29,FIFA.com Ticketing Platform,Australia
175,1,Category 2,1,173.03,FIFA.com Ticketing Platform,South Africa
176,1,Category 3,1,96.01,Verified Resale Platform,Colombia
177,1,Category 3,2,96.32,FIFA.com Ticketing Platform,Argentina
178,1,Category 3,2,97.69,FIFA.com Ticketing Platform,Canada
179,1,Category 2,1,174.99,FIFA.com Ticketing Platform,Argentina
180,1,Category 2,2,159.13,FIFA.com Ticketing Platform,Nigeria
181,1,Category 1,1,311.21,FIFA.com Ticketing Platform,India
182,1,Category 2,1,186.16,FIFA.com Ticketing Platform,Brazil
183,1,Category 3,3,92.55,Ticket Lottery Allocation,France
184,1,Category 2,1,165.13,FIFA.com Ticketing Platform,England
185,1,Category 2,1,161.81,FIFA.com Ticketing Platform,South Africa
186,1,Category 4,1,60.02,FIFA.com Ticketing Platform,Brazil
187,1,Category 3,1,102.66,Ticket Lottery Allocation,USA
188,1,Category 1,2,318.66,Ticket Lottery Allocation,South Africa
189,1,Category 2,4,158.41,FIFA.com Ticketing Platform,Nigeria
190,1,Hospitality,2,973.23,Verified Resale Platform,France
191,1,Category 2,2,178.69,Ticket Lottery Allocation,USA
192,1,Category 1,2,283.16,Official Hospitality Package,Argentina
193,1,Category 2,1,158.01,Verified Resale Platform,Colombia
194,1,Category 3,1,96.47,FIFA.com Ticketing Platform,Japan
195,1,Category 2,2,157.79,FIFA.com Ticketing Platform,India
196,1,Category 3,1,97.76,FIFA.com Ticketing Platform,Spain
197,1,Category 2,2,169.88,Ticket Lottery Allocation,England
198,1,Category 2,1,188.21,FIFA.com Ticketing Platform,England
199,1,Category 3,4,90.6,FIFA.com Ticketing Platform,Australia
200,1,Hospitality,2,1040.83,FIFA.com Ticketing Platform,Brazil
201,1,Category 4,2,58.36,FIFA.com Ticketing Platform,Mexico
202,1,Category 2,4,162.11,FIFA.com Ticketing Platform,USA
203,1,Category 1,1,293.36,Ticket Lottery Allocation,Nigeria
204,1,Category 3,2,93.02,FIFA.com Ticketing Platform,England
205,1,Category 2,1,169.41,FIFA.com Ticketing Platform,Australia
206,1,Category 4,6,58.52,FIFA.com Ticketing Platform,USA
207,1,Hospitality,2,1078.47,FIFA.com Ticketing Platform,Germany
208,1,Category 1,3,321.54,Ticket Lottery Allocation,Japan
209,1,Category 3,1,106.33,FIFA.com Ticketing Platform,France
210,1,Category 3,2,108.08,FIFA.com Ticketing Platform,Canada
211,1,Category 2,1,180.67,FIFA.com Ticketing Platform,South Africa
212,1,Category 2,4,178.93,Ticket Lottery Allocation,Japan
213,1,Category 4,1,63.6,Official Hospitality Package,Japan
214,1,Category 3,2,94.99,FIFA.com Ticketing Platform,Germany
215,1,Category 3,2,90.69,FIFA.com Ticketing Platform,Nigeria
216,1,Hospitality,2,1020.03,FIFA.com Ticketing Platform,France
217,1,Category 3,1,92.28,FIFA.com Ticketing Platform,Canada
218,1,Category 2,2,173.39,Ticket Lottery Allocation,Japan
219,1,Category 1,2,312.56,FIFA.com Ticketing Platform,Australia
220,1,Category 3,1,107.25,Ticket Lottery Allocation,Japan
221,1,Hospitality,1,1091.76,Ticket Lottery Allocation,Colombia
222,1,Category 3,1,107.08,FIFA.com Ticketing Platform,England
223,1,Hospitality,4,1052.29,FIFA.com Ticketing Platform,South Africa
224,1,Category 2,3,165.07,Official Hospitality Package,Argentina
225,1,Category 4,1,58.72,Ticket Lottery Allocation,Spain
226,1,Hospitality,2,1019.51,Official Hospitality Package,Brazil
227,1,Category 2,1,162.07,FIFA.com Ticketing Platform,South Africa
228,1,Category 2,2,182.89,FIFA.com Ticketing Platform,England
229,1,Category 1,2,291.26,Official Hospitality Package,France
230,1,Category 3,2,107.28,Ticket Lottery Allocation,England
231,1,Hospitality,2,1054.06,FIFA.com Ticketing Platform,England
232,1,Category 2,2,167.67,FIFA.com Ticketing Platform,Mexico
233,1,Category 2,1,158.34,Ticket Lottery Allocation,France
234,1,Category 3,2,106.79,Verified Resale Platform,South Africa
235,1,Category 3,2,90.89,FIFA.com Ticketing Platform,Canada
236,1,Category 2,2,168.77,FIFA.com Ticketing Platform,USA
237,1,Category 1,1,272.02,Ticket Lottery Allocation,USA
238,1,Category 3,2,100.4,FIFA.com Ticketing Platform,Germany
239,1,Category 3,2,102.1,FIFA.com Ticketing Platform,India
240,1,Category 2,1,180.1,Ticket Lottery Allocation,India
241,1,Category 1,2,315.33,Ticket Lottery Allocation,Germany
242,1,Category 4,6,66.85,FIFA.com Ticketing Platform,South Africa
243,1,Category 2,2,187.68,FIFA.com Ticketing Platform,Colombia
244,1,Category 3,1,91.42,FIFA.com Ticketing Platform,USA
245,1,Category 2,1,182.45,FIFA.com Ticketing Platform,USA
246,1,Category 3,3,98.1,FIFA.com Ticketing Platform,Spain
247,1,Category 3,2,105.7,Official Hospitality Package,Canada
248,1,Category 3,1,109.14,Official Hospitality Package,Colombia
249,1,Category 3,3,106.29,FIFA.com Ticketing Platform,Colombia
250,1,Category 4,1,59.1,Ticket Lottery Allocation,Mexico
251,1,Category 2,2,186.16,FIFA.com Ticketing Platform,South Africa
252,1,Category 3,3,95.3,Ticket Lottery Allocation,Spain
253,1,Category 3,3,108.72,Verified Resale Platform,England
254,1,Category 3,6,106.97,FIFA.com Ticketing Platform,USA
255,1,Category 2,4,163.44,Ticket Lottery Allocation,Canada
256,1,Category 3,2,96.49,Ticket Lottery Allocation,Brazil
257,1,Category 2,4,189.14,Verified Resale Platform,France
258,1,Hospitality,2,1035.05,Ticket Lottery Allocation,France
259,1,Category 1,6,321.18,FIFA.com Ticketing Platform,Australia
260,1,Category 2,2,186.81,FIFA.com Ticketing Platform,Canada
261,1,Category 1,1,279.97,Official Hospitality Package,Canada
262,1,Category 3,1,102.48,FIFA.com Ticketing Platform,USA
263,1,Category 3,3,101.47,FIFA.com Ticketing Platform,Argentina
264,1,Category 2,6,178.67,FIFA.com Ticketing Platform,South Africa
265,1,Category 4,4,58.29,Verified Resale Platform,Brazil
266,1,Category 2,1,186.82,Verified Resale Platform,Australia
267,1,Category 3,3,95.71,Official Hospitality Package,Mexico
268,1,Category 1,3,287.53,Official Hospitality Package,Argentina
269,1,Category 2,1,166.08,FIFA.com Ticketing Platform,Colombia
270,1,Category 3,4,101.69,Ticket Lottery Allocation,India
271,1,Category 4,2,61.96,FIFA.com Ticketing Platform,Germany
272,1,Category 3,1,91.16,FIFA.com Ticketing Platform,Nigeria
273,1,Category 2,4,183.8,FIFA.com Ticketing Platform,Canada
274,1,Category 2,2,181.52,FIFA.com Ticketing Platform,USA
275,1,Category 1,2,316.17,FIFA.com Ticketing Platform,Canada
276,1,Hospitality,2,1000.38,Verified Resale Platform,Nigeria
277,1,Category 4,1,65.39,FIFA.com Ticketing Platform,India
278,1,Category 2,4,172.93,Ticket Lottery Allocation,Colombia
279,1,Category 3,1,92.06,FIFA.com Ticketing Platform,South Africa
280,1,Category 2,4,186.07,FIFA.com Ticketing Platform,USA
281,1,Category 2,2,174.73,FIFA.com Ticketing Platform,Canada
282,1,Category 2,4,171.96,FIFA.com Ticketing Platform,Spain
283,1,Category 3,3,90.89,Official Hospitality Package,Nigeria
284,1,Category 2,1,178.6,Ticket Lottery Allocation,Colombia
285,1,Category 2,2,165.24,Ticket Lottery Allocation,Brazil
286,1,Category 1,2,284.31,Ticket Lottery Allocation,Brazil
287,1,Category 2,3,177.12,Ticket Lottery Allocation,Colombia
288,1,Category 2,1,173.98,FIFA.com Ticketing Platform,Canada
289,1,Category 2,6,188.26,FIFA.com Ticketing Platform,Mexico
290,1,Category 2,3,161.73,FIFA.com Ticketing Platform,Canada
291,1,Category 3,3,93.98,FIFA.com Ticketing Platform,Japan
292,1,Category 4,1,62.57,Ticket Lottery Allocation,USA
293,1,Category 2,3,173.27,Ticket Lottery Allocation,Japan
294,1,Category 2,1,181.11,FIFA.com Ticketing Platform,USA
295,1,Category 3,4,101.16,FIFA.com Ticketing Platform,Colombia
296,1,Category 3,3,102.65,Ticket Lottery Allocation,South Africa
297,1,Category 3,3,103.16,Ticket Lottery Allocation,Japan
298,1,Category 1,2,310.69,FIFA.com Ticketing Platform,South Africa
299,1,Category 2,3,177.53,Ticket Lottery Allocation,England
300,1,Category 4,2,67.3,FIFA.com Ticketing Platform,Spain
301,1,Category 3,4,102.69,FIFA.com Ticketing Platform,Australia
302,1,Category 1,3,276.81,Verified Resale Platform,England
303,1,Category 3,1,108.12,Ticket Lottery Allocation,Spain
304,1,Category 2,3,163.51,FIFA.com Ticketing Platform,India
305,1,Category 3,2,100.16,Ticket Lottery Allocation,Germany
306,1,Category 3,2,93.74,Verified Resale Platform,Spain
307,1,Category 3,1,97.0,Verified Resale Platform,USA
308,1,Category 2,2,159.23,FIFA.com Ticketing Platform,South Africa
309,1,Category 2,3,165.5,FIFA.com Ticketing Platform,Brazil
310,1,Category 2,2,188.81,Verified Resale Platform,Australia
311,1,Hospitality,2,1079.09,FIFA.com Ticketing Platform,Mexico
312,1,Category 4,2,63.74,FIFA.com Ticketing Platform,Brazil
313,1,Category 4,1,66.97,Ticket Lottery Allocation,Australia
314,1,Category 4,2,63.58,FIFA.com Ticketing Platform,Canada
315,1,Category 3,2,94.63,Ticket Lottery Allocation,Colombia
316,1,Category 2,1,162.88,FIFA.com Ticketing Platform,USA
317,1,Category 4,3,64.85,FIFA.com Ticketing Platform,Argentina
318,1,Category 3,2,102.78,Official Hospitality Package,Argentina
319,1,Category 2,2,159.56,FIFA.com Ticketing Platform,Nigeria
320,1,Category 4,3,66.98,FIFA.com Ticketing Platform,Japan
321,1,Category 3,3,91.62,FIFA.com Ticketing Platform,England
322,1,Category 2,1,164.46,FIFA.com Ticketing Platform,Australia
323,1,Category 3,3,97.9,FIFA.com Ticketing Platform,Spain
324,1,Category 2,4,182.53,Official Hospitality Package,Japan
325,1,Category 4,2,60.56,Official Hospitality Package,India
326,1,Category 3,2,98.58,Ticket Lottery Allocation,South Africa
327,1,Category 1,1,317.89,FIFA.com Ticketing Platform,India
328,1,Category 3,1,92.99,FIFA.com Ticketing Platform,India
329,1,Category 2,1,180.99,Official Hospitality Package,Canada
330,1,Category 4,2,64.98,Official Hospitality Package,France
331,1,Category 3,2,103.09,Verified Resale Platform,Canada
332,1,Category 3,2,101.83,FIFA.com Ticketing Platform,Japan
333,1,Category 3,6,92.04,Ticket Lottery Allocation,India
334,1,Category 3,4,103.9,FIFA.com Ticketing Platform,Japan
335,1,Category 1,1,290.2,Ticket Lottery Allocation,Australia
336,1,Category 3,3,98.52,FIFA.com Ticketing Platform,Germany
337,1,Category 2,1,168.47,FIFA.com Ticketing Platform,India
338,1,Category 2,2,173.46,FIFA.com Ticketing Platform,Brazil
339,1,Category 3,3,96.27,FIFA.com Ticketing Platform,England
340,1,Category 1,6,327.55,FIFA.com Ticketing Platform,Germany
341,1,Category 3,4,91.19,FIFA.com Ticketing Platform,England
342,1,Category 1,1,297.83,Ticket Lottery Allocation,Australia
343,1,Category 3,3,101.87,Verified Resale Platform,Nigeria
344,1,Category 1,3,320.7,Ticket Lottery Allocation,Mexico
345,1,Category 2,3,181.92,FIFA.com Ticketing Platform,Mexico
346,1,Category 3,4,92.16,FIFA.com Ticketing Platform,South Africa
347,1,Category 3,2,105.19,Ticket Lottery Allocation,Spain
348,1,Category 3,4,90.9,FIFA.com Ticketing Platform,USA
349,1,Category 2,2,158.55,Verified Resale Platform,Nigeria
350,1,Category 3,3,98.25,Ticket Lottery Allocation,Colombia
351,1,Category 4,2,61.65,FIFA.com Ticketing Platform,Nigeria
352,1,Hospitality,3,1048.78,FIFA.com Ticketing Platform,Spain
353,1,Category 1,2,279.4,FIFA.com Ticketing Platform,USA
354,1,Category 2,1,189.31,Ticket Lottery Allocation,France
355,1,Category 1,4,271.76,FIFA.com Ticketing Platform,Colombia
356,1,Category 3,2,107.78,Ticket Lottery Allocation,Argentina
357,1,Category 3,3,104.11,Ticket Lottery Allocation,Mexico
358,1,Category 2,2,178.84,FIFA.com Ticketing Platform,South Africa
359,1,Category 2,6,157.13,Ticket Lottery Allocation,USA
360,1,Category 4,3,61.67,Official Hospitality Package,England
361,1,Category 3,1,99.49,Ticket Lottery Allocation,USA
362,1,Category 2,4,172.25,Ticket Lottery Allocation,Canada
363,1,Category 1,3,307.51,FIFA.com Ticketing Platform,Japan
364,1,Category 4,2,62.43,Ticket Lottery Allocation,England
365,1,Category 3,2,91.4,FIFA.com Ticketing Platform,Japan
366,1,Category 3,3,101.76,FIFA.com Ticketing Platform,USA
367,1,Category 4,2,62.14,FIFA.com Ticketing Platform,South Africa
368,1,Category 2,2,182.21,FIFA.com Ticketing Platform,Brazil
369,1,Category 4,1,60.16,FIFA.com Ticketing Platform,Germany
370,1,Category 2,4,182.59,Ticket Lottery Allocation,England
371,1,Category 4,3,63.86,Ticket Lottery Allocation,England
372,1,Hospitality,3,1050.14,FIFA.com Ticketing Platform,India
373,1,Category 2,1,183.06,Official Hospitality Package,Brazil
374,1,Category 3,3,96.13,Verified Resale Platform,USA
375,1,Category 3,2,95.09,FIFA.com Ticketing Platform,Australia
376,1,Category 1,2,301.31,FIFA.com Ticketing Platform,Argentina
377,1,Category 3,1,107.29,Official Hospitality Package,South Africa
378,1,Category 4,2,59.42,FIFA.com Ticketing Platform,Brazil
379,1,Category 2,1,168.72,Ticket Lottery Allocation,Nigeria
380,1,Category 2,3,164.88,Ticket Lottery Allocation,South Africa
381,1,Hospitality,2,1022.72,FIFA.com Ticketing Platform,Australia
382,1,Category 1,2,286.74,FIFA.com Ticketing Platform,Nigeria
383,1,Category 1,1,320.12,Verified Resale Platform,India
384,1,Category 3,1,95.57,Verified Resale Platform,Mexico
385,1,Category 4,3,68.56,Ticket Lottery Allocation,England
386,1,Category 4,2,61.54,Verified Resale Platform,USA
387,1,Category 1,2,296.87,Ticket Lottery Allocation,France
388,1,Category 4,1,61.77,Official Hospitality Package,Mexico
389,1,Category 3,1,94.68,FIFA.com Ticketing Platform,Mexico
390,1,Hospitality,3,987.69,FIFA.com Ticketing Platform,Canada
391,1,Category 2,1,162.43,Ticket Lottery Allocation,England
392,1,Category 4,1,57.33,Official Hospitality Package,South Africa
393,1,Category 1,3,307.61,Ticket Lottery Allocation,India
394,1,Category 1,1,324.29,Ticket Lottery Allocation,Japan
395,1,Category 3,2,102.65,FIFA.com Ticketing Platform,India
396,1,Category 2,1,172.63,FIFA.com Ticketing Platform,Canada
397,1,Category 2,3,186.19,Verified Resale Platform,India
398,1,Category 3,1,107.88,FIFA.com Ticketing Platform,Brazil
399,1,Category 1,2,313.45,FIFA.com Ticketing Platform,Australia
400,1,Category 2,1,184.54,Verified Resale Platform,Japan
401,1,Category 1,6,284.08,FIFA.com Ticketing Platform,Mexico
402,1,Category 3,1,91.33,FIFA.com Ticketing Platform,Colombia
403,1,Category 3,4,93.09,FIFA.com Ticketing Platform,Germany
404,1,Category 2,1,184.46,FIFA.com Ticketing Platform,Argentina
405,1,Category 4,1,62.47,FIFA.com Ticketing Platform,India
406,1,Category 1,6,321.77,FIFA.com Ticketing Platform,Japan
407,1,Category 4,2,58.43,Ticket Lottery Allocation,Australia
408,1,Category 2,2,189.69,Verified Resale Platform,South Africa
409,1,Category 2,2,162.1,FIFA.com Ticketing Platform,France
410,1,Category 3,1,90.55,Verified Resale Platform,Australia
411,1,Category 3,2,105.25,FIFA.com Ticketing Platform,Spain
412,1,Category 2,2,170.25,FIFA.com Ticketing Platform,England
413,1,Category 3,1,104.89,FIFA.com Ticketing Platform,Colombia
414,1,Category 2,2,186.1,Ticket Lottery Allocation,Colombia
415,1,Category 3,1,101.89,FIFA.com Ticketing Platform,Colombia
416,1,Category 3,1,90.44,FIFA.com Ticketing Platform,Colombia
417,1,Category 3,2,91.3,Ticket Lottery Allocation,Australia
418,1,Category 2,1,187.96,Official Hospitality Package,Mexico
419,1,Category 1,4,320.45,FIFA.com Ticketing Platform,England
420,1,Category 2,2,157.96,Verified Resale Platform,Colombia
421,1,Category 2,2,173.9,FIFA.com Ticketing Platform,India
422,1,Hospitality,1,949.0,FIFA.com Ticketing Platform,France
423,1,Category 4,2,61.58,Ticket Lottery Allocation,Australia
424,1,Category 4,1,65.77,FIFA.com Ticketing Platform,India
425,1,Category 3,2,90.64,FIFA.com Ticketing Platform,Mexico
426,1,Category 2,1,165.02,FIFA.com Ticketing Platform,France
427,1,Hospitality,1,1042.86,Verified Resale Platform,England
428,1,Category 1,2,300.56,Official Hospitality Package,Colombia
429,1,Category 2,2,162.66,FIFA.com Ticketing Platform,England
