survey_id,match_id,wait_time_minutes,entry_experience_score,satisfaction_score,would_recommend
205,8,41,5,4,Y
206,8,36,4,3,Y
207,8,14,4,4,Y
208,8,26,5,4,Y
209,8,13,3,4,Y
210,8,13,3,3,Y
211,8,36,3,4,Y
212,8,26,3,5,Y
213,8,35,4,3,Y
214,8,35,5,3,Y
215,8,21,3,5,Y
216,8,13,5,3,Y
217,8,25,5,4,Y
218,8,23,4,3,Y
219,8,28,4,3,Y
220,8,23,5,3,Y
221,8,40,5,4,Y
222,8,43,4,5,Y
223,8,18,3,5,Y
224,8,15,4,4,Y
225,8,43,3,4,Y
226,8,21,3,3,Y
227,9,27,4,3,Y
228,9,43,5,3,Y
229,9,10,4,5,Y
230,9,35,4,3,Y
231,9,16,4,4,Y
232,9,45,4,4,Y
233,9,23,4,5,Y
234,9,29,3,4,Y
235,9,10,5,4,Y
236,9,10,4,4,Y
237,9,11,4,4,Y
238,9,27,4,4,Y
239,9,29,5,3,Y
240,9,16,3,5,Y
241,9,30,4,5,Y
242,9,25,4,5,Y
243,9,40,5,3,Y
244,10,11,4,4,Y
245,10,17,5,5,Y
246,10,24,5,3,Y
247,10,32,4,5,Y
248,10,18,3,3,Y
249,10,26,4,3,Y
250,10,37,5,4,Y
251,10,22,5,4,Y
252,10,39,4,5,Y
253,10,35,3,3,Y
254,10,34,3,4,Y
255,10,35,5,4,Y
256,10,30,5,3,Y
257,10,21,4,4,Y
258,10,22,4,3,Y
259,10,36,4,3,Y
260,10,44,3,5,Y
261,11,27,5,3,Y
262,11,27,4,4,Y
263,11,18,5,3,Y
264,11,19,5,5,Y
265,11,34,4,5,Y
266,11,29,4,4,Y
267,11,16,5,3,Y
268,11,13,3,3,Y
269,11,20,5,3,Y
270,11,19,5,3,Y
271,11,39,4,3,Y
272,11,39,4,5,Y
273,11,19,3,5,Y
274,11,14,3,4,Y
275,11,12,3,4,Y
276,11,37,3,5,Y
277,11,25,3,3,Y
278,11,30,4,4,Y
279,11,35,5,3,Y
280,11,22,4,4,Y
281,11,34,5,5,Y
282,11,17,4,4,Y
283,11,29,3,4,Y
284,11,43,5,5,Y
285,11,16,5,5,Y
286,12,32,3,5,Y
287,12,42,4,4,Y
288,12,26,5,4,Y
289,12,14,4,4,Y
290,12,45,5,3,Y
291,12,30,3,3,Y
292,12,32,3,4,Y
293,12,27,5,4,Y
294,12,32,4,4,Y
295,12,26,5,4,Y
296,12,23,3,3,Y
297,12,18,3,4,Y
298,12,15,4,4,Y
299,12,21,4,3,Y
300,12,42,5,5,Y
301,12,36,4,4,Y
302,12,43,4,5,Y
303,12,45,5,4,Y
304,12,24,4,5,Y
305,12,29,4,5,Y
306,12,41,5,4,Y
307,12,34,3,3,Y
308,12,15,4,3,Y
309,12,40,5,5,Y
310,12,33,3,4,Y
311,12,36,3,3,Y
312,12,27,5,3,Y
313,12,29,3,3,Y
314,12,22,4,4,Y
315,13,22,4,3,Y
316,13,39,5,4,Y
317,13,22,3,3,Y
318,13,12,3,3,Y
319,13,42,4,4,Y
320,13,28,5,5,Y
321,13,37,4,3,Y
322,13,25,3,3,Y
323,13,32,3,5,Y
324,13,32,4,3,Y
325,13,45,3,5,Y
326,13,35,4,5,Y
327,13,12,5,3,Y
328,13,13,3,3,Y
329,13,25,3,4,Y
330,13,22,5,4,Y
331,13,23,3,4,Y
332,13,38,5,3,Y
333,13,43,4,3,Y
334,13,45,5,5,Y
335,13,41,4,3,Y
336,13,13,5,4,Y
337,13,17,3,3,Y
338,13,41,3,4,Y
339,13,20,4,4,Y
340,14,36,5,4,Y
341,14,25,4,5,Y
342,14,15,3,4,Y
343,14,38,3,5,Y
344,14,12,3,4,Y
345,14,28,5,3,Y
346,14,45,4,5,Y
347,14,39,5,5,Y
348,14,19,5,5,Y
349,14,28,4,4,Y
350,14,45,3,3,Y
351,14,27,5,4,Y
352,14,13,4,5,Y
353,14,29,4,5,Y
354,14,29,5,4,Y
355,14,36,5,4,Y
356,14,25,5,3,Y
357,14,39,5,5,Y
358,14,16,3,5,Y
359,14,31,4,4,Y
360,14,15,3,4,Y
361,14,40,3,4,Y
362,14,32,5,4,Y
363,14,10,4,4,Y
364,14,14,5,5,Y
365,14,23,4,5,Y
366,14,36,4,5,Y
367,14,18,3,5,Y
368,14,19,4,4,Y
369,14,41,4,3,Y
370,14,17,4,3,Y
371,14,36,3,3,Y
372,14,17,3,4,Y
373,14,16,3,5,Y
374,14,15,4,5,Y
375,15,31,5,4,Y
376,15,24,4,4,Y
377,15,17,4,5,Y
378,15,37,5,3,Y
379,15,36,3,4,Y
380,15,21,5,4,Y
381,15,19,5,3,Y
382,15,10,5,4,Y
383,15,31,3,3,Y
384,15,33,3,4,Y
385,15,19,5,4,Y
386,15,36,5,3,Y
387,15,42,5,5,Y
388,15,35,3,4,Y
389,15,24,4,3,Y
390,15,10,3,5,Y
391,15,27,4,3,Y
392,15,21,4,4,Y
393,15,45,5,3,Y
394,15,23,3,5,Y
395,15,24,4,3,Y
396,15,26,4,4,Y
397,15,30,5,5,Y
398,15,13,5,4,Y
399,15,44,3,5,Y
400,15,23,4,5,Y
401,15,34,5,4,Y
402,15,25,5,5,Y
403,15,12,3,4,Y
404,15,22,4,5,Y
405,15,10,4,3,Y
406,15,32,5,5,Y
407,15,32,5,5,Y
408,15,31,3,5,Y
409,15,10,5,4,Y
410,15,26,4,3,Y
411,16,29,4,3,Y
412,16,29,3,4,Y
413,16,14,4,5,Y
414,16,37,3,3,Y
415,16,42,5,5,Y
416,16,15,3,3,Y
417,16,15,3,4,Y
418,16,35,3,4,Y
419,16,17,4,4,Y
420,16,10,5,5,Y
421,16,13,4,3,Y
422,16,32,4,4,Y
423,16,42,5,4,Y
424,16,34,3,5,Y
425,16,43,4,3,Y
426,16,34,4,3,Y
427,16,17,5,3,Y
428,16,22,3,5,Y
429,17,23,3,5,Y
430,17,38,4,4,Y
431,17,42,4,3,Y
432,17,28,4,4,Y
433,17,18,3,5,Y
434,17,22,4,4,Y
435,17,25,5,3,Y
436,17,16,4,3,Y
437,17,28,3,5,Y
438,17,35,4,5,Y
439,17,21,5,4,Y
440,17,29,5,5,Y
441,17,18,5,4,Y
442,17,39,3,5,Y
443,17,15,3,4,Y
444,17,40,4,3,Y
445,17,39,3,4,Y
446,17,11,3,4,Y
447,17,16,4,5,Y
448,17,20,5,5,Y
449,17,39,5,5,Y
450,17,23,3,4,Y
451,18,18,5,4,Y
452,18,16,3,4,Y
453,18,18,4,4,Y
454,18,14,3,4,Y
455,18,42,4,5,Y
456,18,37,5,3,Y
457,18,29,5,3,Y
458,18,28,5,5,Y
459,18,27,3,5,Y
460,18,19,5,3,Y
461,18,28,3,5,Y
462,18,22,4,5,Y
463,18,23,3,4,Y
464,18,24,4,4,Y
465,18,27,5,3,Y
466,18,27,3,3,Y
467,18,24,5,4,Y
468,18,43,4,4,Y
469,18,25,3,3,Y
470,18,27,4,3,Y
471,18,23,5,3,Y
472,18,45,4,3,Y
473,18,39,5,3,Y
474,19,22,3,3,Y
475,19,17,5,5,Y
476,19,13,4,3,Y
477,19,15,3,5,Y
478,19,41,5,4,Y
479,19,44,5,5,Y
480,19,10,5,4,Y
481,19,32,3,5,Y
482,19,35,3,3,Y
483,19,11,5,5,Y
484,19,43,3,3,Y
485,19,26,4,3,Y
486,19,21,5,4,Y
487,19,39,4,4,Y
488,19,34,5,3,Y
489,19,45,3,5,Y
490,19,38,3,5,Y
491,19,42,4,4,Y
492,19,20,3,5,Y
493,19,24,4,5,Y
494,19,44,3,4,Y
495,19,23,3,3,Y
496,19,15,3,3,Y
497,19,20,5,4,Y
498,19,18,5,4,Y
499,20,17,3,4,Y
500,20,19,3,3,Y
501,20,18,3,3,Y
502,20,30,4,5,Y
503,20,20,3,3,Y
504,20,12,3,5,Y
505,20,32,4,5,Y
506,20,31,5,4,Y
507,20,37,5,4,Y
508,20,26,4,5,Y
509,20,18,5,5,Y
510,20,37,5,5,Y
511,20,18,3,4,Y
512,20,32,5,5,Y
513,20,40,4,4,Y
514,20,42,5,3,Y
515,20,29,3,3,Y
516,20,31,5,4,Y
517,20,23,4,3,Y
518,20,19,3,3,Y
519,20,22,3,5,Y
520,20,25,4,5,Y
521,20,35,5,4,Y
522,20,15,3,3,Y
523,20,37,4,4,Y
524,20,20,3,5,Y
525,20,12,4,5,Y
526,20,22,5,3,Y
527,20,19,3,5,Y
528,20,39,4,4,Y
529,20,33,5,5,Y
530,20,29,4,5,Y
531,20,15,3,3,Y
532,20,33,5,4,Y
533,20,30,4,3,Y
534,20,24,5,5,Y
535,20,21,3,3,Y
536,20,31,3,4,Y
537,21,10,5,4,Y
538,21,27,3,5,Y
539,21,34,4,5,Y
540,21,36,5,4,Y
541,21,44,5,3,Y
542,21,24,5,3,Y
543,21,42,3,3,Y
544,21,32,5,3,Y
545,21,38,5,5,Y
546,21,29,5,5,Y
547,21,29,3,3,Y
548,21,22,4,4,Y
549,21,21,5,4,Y
550,21,45,4,5,Y
551,21,32,5,5,Y
552,21,16,3,3,Y
553,21,39,4,3,Y
554,22,20,5,4,Y
555,22,23,5,5,Y
556,22,16,4,5,Y
557,22,26,3,5,Y
558,22,35,5,5,Y
559,22,24,3,3,Y
560,22,30,3,3,Y
561,22,13,4,5,Y
562,22,37,3,5,Y
563,22,13,5,5,Y
564,22,16,5,4,Y
565,22,21,5,3,Y
566,22,45,4,5,Y
567,22,42,5,3,Y
568,22,23,3,4,Y
569,22,22,5,5,Y
570,22,28,5,4,Y
571,22,40,5,3,Y
572,22,18,3,5,Y
573,22,12,3,4,Y
574,22,24,3,4,Y
575,22,29,5,4,Y
576,22,31,5,5,Y
577,22,18,3,4,Y
578,23,23,3,3,Y
579,23,26,3,4,Y
580,23,24,3,3,Y
581,23,36,3,3,Y
582,23,25,5,5,Y
583,23,27,4,5,Y
584,23,15,3,3,Y
585,23,28,4,5,Y
586,23,26,4,5,Y
587,23,17,3,5,Y
588,23,21,4,4,Y
589,23,17,4,3,Y
590,23,16,4,3,Y
591,23,13,4,4,Y
592,23,42,5,4,Y
593,23,14,3,4,Y
594,23,18,4,4,Y
595,23,15,5,5,Y
596,23,27,4,3,Y
597,23,14,5,4,Y
598,23,34,5,4,Y
599,23,37,4,5,Y
600,23,41,3,4,Y
601,23,24,3,5,Y
602,23,45,3,4,Y
603,23,35,3,5,Y
604,23,31,3,4,Y
605,23,44,5,5,Y
606,23,10,5,5,Y
607,23,21,4,5,Y
608,24,16,3,4,Y
609,24,32,5,4,Y
610,24,30,3,4,Y
611,24,29,3,4,Y
612,24,30,4,4,Y
613,24,10,4,4,Y
614,24,44,4,5,Y
615,24,45,5,5,Y
616,24,35,4,5,Y
617,24,31,4,4,Y
618,24,14,4,3,Y
619,24,23,4,5,Y
620,24,40,4,5,Y
621,24,22,4,3,Y
622,24,32,4,4,Y
623,25,11,5,5,Y
624,25,33,4,5,Y
625,25,20,5,4,Y
626,25,36,4,4,Y
627,25,42,3,5,Y
628,25,28,5,5,Y
629,25,17,5,4,Y
630,25,36,5,3,Y
631,25,38,3,4,Y
632,25,13,4,3,Y
633,25,34,5,4,Y
634,25,20,4,5,Y
635,25,18,3,4,Y
636,25,13,5,5,Y
637,25,42,4,5,Y
638,26,16,5,5,Y
639,26,26,3,4,Y
640,26,44,3,3,Y
641,26,27,5,5,Y
642,26,23,3,4,Y
643,26,33,3,4,Y
644,26,25,5,3,Y
645,26,13,4,3,Y
646,26,40,4,5,Y
647,26,44,3,5,Y
648,26,13,3,4,Y
649,26,14,4,3,Y
650,26,30,3,5,Y
651,26,18,5,4,Y
652,26,31,4,4,Y
653,26,14,5,5,Y
654,26,24,4,4,Y
655,26,30,3,4,Y
656,27,27,4,4,Y
657,27,42,4,4,Y
658,27,36,5,5,Y
659,27,42,5,4,Y
660,27,31,4,4,Y
661,27,16,5,4,Y
662,27,30,4,5,Y
663,27,27,4,5,Y
664,27,28,3,4,Y
665,27,43,4,4,Y
666,27,43,4,5,Y
667,27,34,4,5,Y
668,27,21,5,4,Y
669,27,35,3,5,Y
670,27,30,3,4,Y
671,27,38,5,4,Y
672,27,16,5,3,Y
673,27,35,3,4,Y
674,27,17,4,3,Y
675,27,25,3,4,Y
676,27,13,4,5,Y
677,27,27,5,3,Y
678,27,19,5,5,Y
679,27,39,3,5,Y
680,27,45,5,4,Y
681,27,21,4,4,Y
682,27,25,4,4,Y
683,28,22,4,4,Y
684,28,18,5,3,Y
685,28,12,5,3,Y
686,28,20,3,4,Y
687,28,23,4,3,Y
688,28,33,4,4,Y
689,28,42,4,3,Y
690,28,11,3,4,Y
691,28,29,3,5,Y
692,28,12,5,5,Y
693,28,17,4,4,Y
694,28,14,5,5,Y
695,28,27,4,3,Y
696,28,27,3,5,Y
697,28,13,4,3,Y
698,28,23,5,5,Y
699,28,37,4,4,Y
700,28,45,5,3,Y
701,28,33,4,4,Y
702,28,43,5,5,Y
703,28,45,5,5,Y
704,28,20,4,5,Y
705,28,22,4,4,Y
706,28,27,4,4,Y
707,28,45,5,5,Y
708,28,16,5,3,Y
709,28,32,5,3,Y
710,28,17,4,4,Y
711,28,15,5,3,Y
712,28,14,5,3,Y
713,29,23,3,5,Y
714,29,22,5,3,Y
715,29,39,3,5,Y
716,29,21,3,4,Y
717,29,31,3,4,Y
718,29,22,5,3,Y
719,29,31,4,4,Y
720,29,12,3,5,Y
721,29,17,4,4,Y
722,29,20,3,4,Y
723,29,38,5,4,Y
724,29,34,3,3,Y
725,29,22,5,4,Y
726,29,35,4,5,Y
727,29,30,5,4,Y
728,29,40,3,3,Y
729,29,28,3,4,Y
730,29,25,4,5,Y
731,29,40,4,5,Y
732,29,10,3,4,Y
733,29,19,5,5,Y
734,29,12,5,5,Y
735,29,17,3,3,Y
736,29,30,5,5,Y
737,29,26,5,5,Y
738,29,24,4,4,Y
739,29,39,4,5,Y
740,29,26,4,5,Y
741,29,29,5,3,Y
742,29,32,3,4,Y
743,29,21,5,3,Y
744,29,44,3,5,Y
745,29,10,4,3,Y
746,29,19,3,3,Y
747,29,11,4,4,Y
748,29,43,4,5,Y
749,29,38,3,3,Y
750,29,14,5,5,Y
751,29,40,4,3,Y
752,30,43,5,3,Y
753,30,18,5,4,Y
754,30,11,3,4,Y
755,30,45,3,5,Y
756,30,15,3,4,Y
757,30,32,3,3,Y
758,30,14,4,3,Y
759,30,31,4,4,Y
760,30,28,3,4,Y
761,30,21,5,3,Y
762,30,39,3,4,Y
763,30,41,3,4,Y
764,30,42,5,3,Y
765,30,18,3,4,Y
766,30,35,5,3,Y
767,30,34,5,4,Y
768,30,40,5,4,Y
769,30,17,5,4,Y
770,30,25,3,5,Y
771,30,17,4,4,Y
772,30,24,5,4,Y
773,30,19,4,4,Y
774,30,40,3,5,Y
775,30,35,4,3,Y
776,30,36,4,5,Y
777,30,34,3,4,Y
778,30,13,4,4,Y
779,30,37,4,5,Y
780,31,21,3,5,Y
781,31,11,4,3,Y
782,31,17,3,3,Y
783,31,11,3,4,Y
784,31,31,4,4,Y
785,31,36,5,3,Y
786,31,26,4,5,Y
787,31,23,3,3,Y
788,31,32,5,3,Y
789,31,41,3,3,Y
790,31,20,5,3,Y
791,31,40,5,5,Y
792,31,37,3,4,Y
793,31,17,4,4,Y
794,31,33,3,4,Y
795,31,14,5,5,Y
796,31,31,5,3,Y
797,31,37,4,4,Y
798,31,43,3,4,Y
799,31,27,3,3,Y
800,31,36,3,4,Y
801,31,19,5,3,Y
802,31,41,5,5,Y
803,31,21,3,5,Y
804,31,23,5,3,Y
805,31,29,5,3,Y
806,31,27,5,3,Y
807,31,16,3,4,Y
808,31,20,5,5,Y
809,31,17,4,3,Y
810,31,37,5,4,Y
811,31,43,3,5,Y
812,31,11,4,3,Y
813,32,33,3,5,Y
814,32,26,5,5,Y
815,32,13,4,5,Y
816,32,24,5,5,Y
817,32,12,3,3,Y
818,32,22,5,5,Y
819,32,27,3,3,Y
820,32,42,3,3,Y
821,32,39,4,4,Y
822,32,40,3,3,Y
823,32,32,4,5,Y
824,32,12,5,5,Y
825,32,11,3,4,Y
826,32,16,4,5,Y
827,32,45,4,3,Y
828,32,39,4,5,Y
829,32,18,5,3,Y
830,32,17,3,4,Y
831,32,33,5,5,Y
832,32,43,5,5,Y
833,32,25,5,3,Y
834,32,44,3,5,Y
835,32,15,5,4,Y
836,32,32,5,3,Y
837,32,25,3,4,Y
838,32,30,4,4,Y
839,32,31,4,3,Y
840,32,39,5,4,Y
841,32,38,4,5,Y
842,32,42,3,5,Y
843,32,13,3,3,Y
844,32,35,4,5,Y
845,32,29,5,4,Y
846,32,31,3,3,Y
847,33,23,4,5,Y
848,33,39,4,5,Y
849,33,13,3,4,Y
850,33,12,4,5,Y
851,33,14,3,3,Y
852,33,25,4,4,Y
853,33,28,5,5,Y
854,33,41,5,4,Y
855,33,24,4,4,Y
856,33,30,3,3,Y
857,33,28,5,5,Y
858,33,41,5,4,Y
859,33,12,5,4,Y
860,33,17,5,5,Y
861,33,10,3,3,Y
862,33,44,5,3,Y
863,33,17,4,5,Y
864,33,20,4,5,Y
865,33,40,4,5,Y
866,33,26,4,4,Y
867,33,17,4,3,Y
868,33,42,3,3,Y
869,33,30,4,3,Y
870,33,20,3,3,Y
871,33,11,5,5,Y
872,33,42,3,3,Y
873,33,21,4,4,Y
874,33,18,5,5,Y
875,33,44,5,3,Y
876,33,11,3,5,Y
877,33,35,3,3,Y
878,33,36,3,3,Y
879,33,26,5,5,Y
880,34,43,3,5,Y
881,34,25,4,3,Y
882,34,23,5,3,Y
883,34,42,4,3,Y
884,34,17,3,5,Y
885,34,25,4,4,Y
886,34,12,3,3,Y
887,34,33,4,4,Y
888,34,24,3,4,Y
889,34,21,3,3,Y
890,34,44,3,5,Y
891,34,22,4,3,Y
892,34,42,5,4,Y
893,34,34,3,4,Y
894,34,29,4,4,Y
895,34,40,5,3,Y
896,34,35,3,5,Y
897,34,37,4,5,Y
898,34,29,4,5,Y
899,34,27,4,3,Y
900,34,20,4,3,Y
901,34,22,3,4,Y
902,34,28,5,3,Y
903,34,37,3,4,Y
904,34,40,4,4,Y
905,34,36,5,4,Y
906,34,12,5,4,Y
907,34,12,3,3,Y
908,34,16,5,3,Y
909,34,12,4,4,Y
910,34,32,3,4,Y
911,34,24,3,3,Y
912,34,32,3,5,Y
913,35,30,3,3,Y
914,35,19,3,3,Y
915,35,42,4,5,Y
916,35,31,5,3,Y
917,35,40,3,3,Y
918,35,35,3,4,Y
919,35,18,4,3,Y
920,35,34,3,4,Y
921,35,15,5,3,Y
922,35,22,5,5,Y
923,35,34,5,4,Y
924,35,32,5,4,Y
925,35,44,3,4,Y
926,35,32,3,5,Y
927,35,28,4,4,Y
928,35,19,5,5,Y
929,35,12,4,4,Y
930,35,27,4,5,Y
931,35,36,5,3,Y
932,35,25,5,3,Y
933,35,36,3,5,Y
934,35,15,5,4,Y
935,35,15,5,3,Y
936,35,11,3,5,Y
937,36,45,3,5,Y
938,36,17,3,5,Y
939,36,40,4,5,Y
940,36,31,4,5,Y
941,36,35,3,4,Y
942,36,39,4,5,Y
943,36,23,4,4,Y
944,36,18,5,5,Y
945,36,15,4,5,Y
946,36,43,4,3,Y
947,36,28,4,3,Y
948,36,33,3,5,Y
949,36,30,4,5,Y
950,36,39,5,3,Y
951,36,31,4,4,Y
952,36,34,4,5,Y
953,36,24,4,3,Y
954,36,44,3,3,Y
955,36,37,4,5,Y
956,36,41,5,5,Y
957,36,24,5,5,Y
958,36,45,4,3,Y
959,37,17,3,4,Y
960,37,27,3,5,Y
961,37,18,5,4,Y
962,37,39,4,4,Y
963,37,22,5,5,Y
964,37,16,3,3,Y
965,37,25,4,3,Y
966,37,16,4,5,Y
967,37,10,5,4,Y
968,37,27,3,3,Y
969,37,32,5,4,Y
970,37,16,4,5,Y
971,37,26,5,4,Y
972,37,25,3,4,Y
973,37,24,5,5,Y
974,37,25,5,5,Y
975,38,29,5,4,Y
976,38,16,3,5,Y
977,38,43,5,4,Y
978,38,14,5,3,Y
979,38,18,4,5,Y
980,38,20,4,4,Y
981,38,16,5,3,Y
982,38,40,4,4,Y
983,38,26,5,4,Y
984,38,16,5,5,Y
985,38,12,4,4,Y
986,38,41,4,3,Y
987,38,14,5,4,Y
988,38,18,5,5,Y
989,38,30,3,5,Y
990,38,25,3,4,Y
991,38,28,3,4,Y
992,38,22,5,5,Y
993,38,44,5,4,Y
994,38,44,4,5,Y
995,38,19,3,4,Y
996,38,11,3,5,Y
997,38,10,5,4,Y
998,38,22,5,5,Y
999,38,21,3,5,Y
1000,38,18,3,5,Y
1001,38,44,4,4,Y
1002,38,23,4,4,Y
1003,38,19,5,3,Y
1004,39,26,3,4,Y
1005,39,31,4,5,Y
1006,39,21,5,5,Y
1007,39,37,5,4,Y
1008,39,29,5,4,Y
1009,39,36,4,3,Y
1010,39,14,5,3,Y
1011,39,10,4,3,Y
1012,39,38,5,3,Y
1013,39,17,3,5,Y
1014,39,30,3,3,Y
1015,39,37,4,5,Y
1016,39,21,4,5,Y
1017,39,33,5,4,Y
1018,39,36,3,4,Y
1019,39,13,4,3,Y
1020,39,13,4,4,Y
1021,39,10,4,4,Y
1022,39,37,5,4,Y
1023,39,35,3,3,Y
1024,39,43,4,5,Y
1025,39,25,4,5,Y
1026,39,12,3,5,Y
1027,39,21,3,5,Y
1028,39,23,4,4,Y
1029,39,19,5,4,Y
1030,39,32,4,3,Y
1031,39,12,3,3,Y
1032,39,13,4,4,Y
1033,39,10,3,3,Y
1034,39,17,4,4,Y
1035,39,29,3,5,Y
1036,39,35,5,3,Y
1037,39,21,3,4,Y
1038,39,33,3,3,Y
1039,39,20,4,3,Y
1040,39,13,5,5,Y
1041,39,29,4,5,Y
1042,39,16,4,4,Y
1043,40,15,5,3,Y
1044,40,39,3,3,Y
1045,40,32,5,3,Y
1046,40,31,5,3,Y
1047,40,16,3,5,Y
1048,40,15,5,5,Y
1049,40,22,5,3,Y
1050,40,45,5,3,Y
1051,40,24,4,3,Y
1052,40,31,5,3,Y
1053,40,29,3,5,Y
1054,40,26,5,4,Y
1055,40,41,4,4,Y
1056,40,21,5,3,Y
1057,40,18,3,3,Y
1058,40,28,4,3,Y
1059,40,40,5,5,Y
1060,40,39,4,3,Y
1061,40,23,5,3,Y
1062,40,14,4,4,Y
1063,40,24,4,5,Y
1064,40,36,4,3,Y
1065,40,30,4,5,Y
1066,40,17,3,3,Y
1067,40,40,4,4,Y
